pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked,boat,body,title
1,0,male,,0,0,0.0,,S,,,Mr
1,0,male,27.0,1,0,136.7792,C89,C,,,Mr
1,1,female,26.0,1,0,136.7792,C89,C,4,,Mrs
1,1,female,22.0,0,0,151.55,,S,11,,Miss
1,0,male,,0,0,52.0,A14,S,,,Mr
1,0,male,47.0,0,0,25.5875,E58,S,,,Mr
1,1,female,39.0,1,1,83.1583,E49,C,14,,Miss
1,0,male,37.0,1,1,83.1583,E52,C,,,Mr
1,1,female,64.0,0,2,83.1583,E45,C,14,,Mrs
1,1,female,55.0,2,0,25.7,C101,S,2,,Mrs
1,0,male,,0,0,26.55,,S,,,Mr
1,0,male,70.0,1,1,71.0,B22,S,,269,Capt
1,1,female,36.0,0,2,71.0,B22,S,7,,Miss
1,1,female,64.0,1,1,26.55,B26,S,7,,Mrs
1,0,male,39.0,1,0,71.2833,C85,C,,,Mr
1,1,female,38.0,1,0,71.2833,C85,C,4,,Mrs
1,1,male,51.0,0,0,26.55,E17,S,5 9,,Mr
1,1,male,27.0,0,0,30.5,,S,3,,Mr
1,1,female,33.0,0,0,151.55,,S,8,,Miss
1,0,male,31.0,1,0,52.0,B71,S,,,Mr
1,1,female,27.0,1,2,52.0,B71,S,3,,Mrs
1,1,male,31.0,1,0,57.0,B20,S,3,,Mr
1,1,female,17.0,1,0,57.0,B20,S,3,,Mrs
1,1,male,53.0,1,1,81.8583,A34,S,13,,Dr
1,1,male,4.0,0,2,81.8583,A34,S,5,,Master
1,1,female,54.0,1,1,81.8583,A34,S,5,,Mrs
1,0,male,50.0,1,0,106.425,C86,C,,62,Mr
1,1,female,27.0,1,1,247.5208,B58,C,6,,Mrs
1,1,female,48.0,1,0,106.425,C86,C,2,,Mrs
1,1,female,48.0,1,0,39.6,A16,C,1,,Lady
1,1,male,49.0,1,0,56.9292,A20,C,1,,Sir
1,0,male,39.0,0,0,29.7,A18,C,,133,Mr
1,1,female,23.0,0,1,83.1583,C54,C,7,,Mrs
1,1,female,38.0,0,0,227.525,C45,C,4,,Miss
1,1,female,54.0,1,0,78.2667,D20,C,4,,Miss
1,0,female,36.0,0,0,31.6792,A29,C,,,Miss
1,0,male,,0,0,221.7792,C95,S,,,Mr
1,1,female,,0,0,31.6833,,S,7,,Mrs
1,1,female,,0,0,110.8833,,C,4,,Miss
1,1,male,36.0,0,0,26.3875,E25,S,5,,Mr
1,0,male,30.0,0,0,27.75,C111,C,,,Mr
1,1,female,24.0,3,2,263.0,C23,S,10,,Miss
1,1,female,28.0,3,2,263.0,C23,S,10,,Miss
1,1,female,23.0,3,2,263.0,C23,S,10,,Miss
1,0,male,19.0,3,2,263.0,C23,S,,,Mr
1,0,male,64.0,1,4,263.0,C23,S,,,Mr
1,1,female,60.0,1,4,263.0,C23,S,10,,Mrs
1,1,female,30.0,0,0,56.9292,E36,C,1,,Miss
1,0,male,,0,0,26.55,D34,S,,,Mr
1,1,male,50.0,2,0,133.65,,S,5,,Dr
1,1,male,43.0,1,0,27.7208,D40,C,5,,Mr
1,1,female,,1,0,133.65,,S,5,,Mrs
1,1,female,22.0,0,2,49.5,B39,C,5,,Miss
1,1,male,60.0,1,1,79.2,B41,C,5,,Mr
1,1,female,48.0,1,1,79.2,B41,C,5,,Mrs
1,0,male,,0,0,0.0,B102,S,,,Mr
1,0,male,37.0,1,0,53.1,C123,S,,,Mr
1,1,female,35.0,1,0,53.1,C123,S,D,,Mrs
1,0,male,47.0,0,0,38.5,E63,S,,275,Mr
1,1,female,35.0,0,0,211.5,C130,C,4,,Miss
1,1,female,22.0,0,1,59.4,,C,7,,Miss
1,1,female,45.0,0,1,59.4,,C,7,,Mrs
1,0,male,24.0,0,0,79.2,B86,C,,,Mr
1,1,male,49.0,1,0,89.1042,C92,C,5,,Mr
1,1,female,,1,0,89.1042,C92,C,5,,Mrs
1,0,male,71.0,0,0,34.6542,A5,C,,,Mr
1,1,male,53.0,0,0,28.5,C51,C,B,,Col
1,1,female,19.0,0,0,30.0,B42,S,3,,Miss
1,0,male,38.0,0,1,153.4625,C91,S,,147,Mr
1,1,female,58.0,0,1,153.4625,C125,S,3,,Mrs
1,1,male,23.0,0,1,63.3583,D10,C,7,,Mr
1,1,female,45.0,0,1,63.3583,D10,C,7,,Mrs
1,0,male,46.0,0,0,79.2,B82,C,,,Mr
1,1,male,25.0,1,0,55.4417,E50,C,5,,Mr
1,1,female,25.0,1,0,55.4417,E50,C,5,,Mrs
1,1,male,48.0,1,0,76.7292,D33,C,3,,Mr
1,1,female,49.0,1,0,76.7292,D33,C,3,,Mrs
1,0,male,,0,0,42.4,,S,,,Mr
1,0,male,45.0,1,0,83.475,C83,S,,,Mr
1,1,female,35.0,1,0,83.475,C83,S,D,,Mrs
1,0,male,40.0,0,0,0.0,B94,S,,110,Mr
1,1,male,27.0,0,0,76.7292,D49,C,3,,Mr
1,1,male,,0,0,30.0,D45,S,3,,Mr
1,1,female,24.0,0,0,83.1583,C54,C,7,,Miss
1,0,male,55.0,1,1,93.5,B69,S,,307,Mr
1,1,female,52.0,1,1,93.5,B69,S,3,,Mrs
1,0,male,42.0,0,0,42.5,B11,S,,,Mr
1,0,male,,0,0,51.8625,E46,S,,,Mr
1,0,male,55.0,0,0,50.0,C39,S,,,Mr
1,1,female,16.0,0,1,57.9792,B18,C,4,,Miss
1,1,female,44.0,0,1,57.9792,B18,C,4,,Mrs
1,1,female,51.0,1,0,77.9583,D11,S,10,,Mrs
1,0,male,42.0,1,0,52.0,,S,,38,Mr
1,1,female,35.0,1,0,52.0,,S,8,,Mrs
1,1,male,35.0,0,0,26.55,,C,15,,Mr
1,1,male,38.0,1,0,90.0,C93,S,D,,Mr
1,0,male,,0,0,30.6958,,C,14,,Mr
1,1,female,35.0,1,0,90.0,C93,S,D,,Mrs
1,1,female,38.0,0,0,80.0,B28,,6,,Miss
1,0,female,50.0,0,0,28.7125,C49,C,,,Miss
1,1,male,49.0,0,0,0.0,B52,S,C,,Mr
1,0,male,46.0,0,0,26.0,,S,,80,Mr
1,0,male,50.0,0,0,26.0,E60,S,,,Mr
1,0,male,32.5,0,0,211.5,C132,C,,45,Mr
1,0,male,58.0,0,0,29.7,B37,C,,258,Mr
1,0,male,41.0,1,0,51.8625,D21,S,,,Mr
1,1,female,,1,0,51.8625,D21,S,8,,Mrs
1,1,male,42.0,1,0,52.5542,D19,S,5,,Mr
1,1,female,45.0,1,0,52.5542,D19,S,5,,Mrs
1,0,male,,0,0,26.55,C124,S,,,Mr
1,1,female,39.0,0,0,211.3375,,S,2,,Miss
1,1,female,49.0,0,0,25.9292,D17,S,8,,Dr
1,1,female,30.0,0,0,106.425,,C,2,,Miss
1,1,male,35.0,0,0,512.3292,B101,C,3,,Mr
1,0,male,,0,0,27.7208,,C,,,Mr
1,0,male,42.0,0,0,26.55,,S,,,Mr
1,1,female,55.0,0,0,27.7208,,C,6,,Mrs
1,1,female,16.0,0,1,39.4,D28,S,9,,Miss
1,1,female,51.0,0,1,39.4,D28,S,9,,Mrs
1,0,male,29.0,0,0,30.0,D6,S,,126,Mr
1,1,female,21.0,0,0,77.9583,D9,S,10,,Miss
1,0,male,30.0,0,0,45.5,,S,,,Mr
1,1,female,58.0,0,0,146.5208,B80,C,,,Miss
1,1,female,15.0,0,1,211.3375,B5,S,2,,Miss
1,0,male,30.0,0,0,26.0,C106,S,,,Mr
1,1,female,16.0,0,0,86.5,B79,S,8,,Miss
1,1,male,,0,0,29.7,C47,C,7,,Mr
1,0,male,19.0,1,0,53.1,D30,S,,,Mr
1,1,female,18.0,1,0,53.1,D30,S,10,,Mrs
1,1,female,24.0,0,0,49.5042,C90,C,6,,Mlle
1,0,male,46.0,0,0,75.2417,C6,C,,292,Mr
1,0,male,54.0,0,0,51.8625,E46,S,,175,Mr
1,1,male,36.0,0,0,26.2875,E25,S,7,,Mr
1,0,male,28.0,1,0,82.1708,,C,,,Mr
1,1,female,,1,0,82.1708,,C,6,,Mrs
1,0,male,65.0,0,0,26.55,E38,S,,249,Mr
1,0,male,44.0,2,0,90.0,C78,Q,,230,Dr
1,1,female,33.0,1,0,90.0,C78,Q,14,,Miss
1,1,female,37.0,1,0,90.0,C78,Q,14,,Mrs
1,1,male,30.0,1,0,57.75,C78,C,11,,Mr
1,0,male,55.0,0,0,30.5,C30,S,,,Mr
1,0,male,47.0,0,0,42.4,,S,,,Mr
1,0,male,37.0,0,1,29.7,C118,C,,,Mr
1,1,female,31.0,1,0,113.275,D36,C,6,,Miss
1,1,female,23.0,1,0,113.275,D36,C,6,,Miss
1,0,male,58.0,0,2,113.275,D48,C,,122,Mr
1,1,female,19.0,0,2,26.2833,D47,S,5,,Miss
1,0,male,64.0,0,0,26.0,,S,,263,Mr
1,1,female,39.0,0,0,108.9,C105,C,8,,Dona
1,1,male,,0,0,25.7417,,C,7,,Mr
1,1,female,22.0,0,1,61.9792,B36,C,5,,Miss
1,0,male,65.0,0,1,61.9792,B30,C,,234,Mr
1,0,male,28.5,0,0,27.7208,D43,C,,189,Mr
1,0,male,,0,0,0.0,,S,,,Mr
1,0,male,45.5,0,0,28.5,C124,S,,166,Mr
1,0,male,23.0,0,0,93.5,B24,S,,,Mr
1,0,male,29.0,1,0,66.6,C2,S,,,Mr
1,1,female,22.0,1,0,66.6,C2,S,8,,Mrs
1,0,male,18.0,1,0,108.9,C65,C,,,Mr
1,1,female,17.0,1,0,108.9,C65,C,8,,Mrs
1,1,female,30.0,0,0,93.5,B73,S,3,,Miss
1,1,male,52.0,0,0,30.5,C104,S,6,,Major
1,0,male,47.0,0,0,52.0,C110,S,,207,Mr
1,1,female,56.0,0,1,83.1583,C50,C,7,,Mrs
1,0,male,38.0,0,0,0.0,,S,,,Jonkheer
1,1,male,,0,0,39.6,,S,A,,Mr
1,0,male,22.0,0,0,135.6333,,C,,232,Mr
1,0,male,,0,0,227.525,,C,,,Mr
1,1,female,43.0,0,1,211.3375,B3,S,2,,Mrs
1,0,male,31.0,0,0,50.4958,A24,S,,,Mr
1,1,male,45.0,0,0,26.55,,S,9,,Mr
1,0,male,,0,0,50.0,A32,S,,,Mr
1,1,female,33.0,0,0,27.7208,A11,C,11,,Miss
1,0,male,46.0,0,0,79.2,,C,,16,Mr
1,0,male,36.0,0,0,40.125,A10,C,,,Mr
1,1,female,33.0,0,0,86.5,B77,S,8,,the Countess
1,0,male,55.0,1,0,59.4,,C,,,Mr
1,1,female,54.0,1,0,59.4,,C,6,,Mrs
1,0,male,33.0,0,0,26.55,,S,,109,Mr
1,1,male,13.0,2,2,262.375,B57,C,4,,Master
1,1,female,18.0,2,2,262.375,B57,C,4,,Miss
1,1,female,21.0,2,2,262.375,B57,C,4,,Miss
1,0,male,61.0,1,3,262.375,B57,C,,,Mr
1,1,female,48.0,1,3,262.375,B57,C,4,,Mrs
1,1,male,,0,0,30.5,C106,S,3,,Mr
1,1,female,24.0,0,0,69.3,B35,C,9,,Mlle
1,1,male,,0,0,26.0,,S,1,,Mr
1,1,female,35.0,1,0,57.75,C28,C,11,,Mrs
1,1,female,30.0,0,0,31.0,,C,4,,Miss
1,1,male,34.0,0,0,26.55,,S,7,,Mr
1,1,female,40.0,0,0,153.4625,C125,S,3,,Miss
1,1,male,35.0,0,0,26.2875,E24,S,5,,Mr
1,0,male,50.0,1,0,55.9,E44,S,,,Mr
1,1,female,39.0,1,0,55.9,E44,S,11,,Mrs
1,1,male,56.0,0,0,35.5,A26,C,3,,Col
1,1,male,28.0,0,0,35.5,A6,S,7,,Mr
1,0,male,56.0,0,0,26.55,,S,,,Mr
1,0,male,56.0,0,0,30.6958,A7,C,,,Mr
1,0,male,24.0,1,0,60.0,C31,S,,,Mr
1,0,male,,0,0,26.0,A19,S,,,Mr
1,1,female,18.0,1,0,60.0,C31,S,6,,Mrs
1,1,male,24.0,1,0,82.2667,B45,S,7,,Mr
1,1,female,23.0,1,0,82.2667,B45,S,7,,Mrs
1,1,male,6.0,0,2,134.5,E34,C,3,,Master
1,1,male,45.0,1,1,134.5,E34,C,3,,Mr
1,1,female,40.0,1,1,134.5,E34,C,3,,Mrs
1,0,male,57.0,1,0,146.5208,B78,C,,,Mr
1,1,female,,1,0,146.5208,B78,C,6,,Mrs
1,1,male,32.0,0,0,30.5,B50,C,3,,Dr
1,0,male,62.0,0,0,26.55,C87,S,,,Mr
1,1,male,54.0,1,0,55.4417,C116,C,1,,Mr
1,1,female,43.0,1,0,55.4417,C116,C,5,,Mrs
1,1,female,52.0,1,0,78.2667,D20,C,4,,Mrs
1,0,male,,0,0,27.7208,,C,,,Mr
1,1,female,62.0,0,0,80.0,B28,,6,,Mrs
1,0,male,67.0,1,0,221.7792,C55,S,,96,Mr
1,0,female,63.0,1,0,221.7792,C55,S,,,Mrs
1,0,male,61.0,0,0,32.3208,D50,S,,46,Mr
1,1,female,48.0,0,0,25.9292,D17,S,8,,Mrs
1,1,female,18.0,0,2,79.65,E68,S,8,,Miss
1,0,male,52.0,1,1,79.65,E67,S,,,Mr
1,1,female,39.0,1,1,79.65,E67,S,8,,Mrs
1,1,male,48.0,1,0,52.0,C126,S,5 7,,Mr
1,1,female,,1,0,52.0,C126,S,5 7,,Mrs
1,0,male,49.0,1,1,110.8833,C68,C,,,Mr
1,1,male,17.0,0,2,110.8833,C70,C,B,,Mr
1,1,female,39.0,1,1,110.8833,C68,C,4,,Mrs
1,1,female,,0,0,79.2,,C,D,,Mrs
1,1,male,31.0,0,0,28.5375,C53,C,7,,Mr
1,0,male,40.0,0,0,27.7208,,C,,,Don
1,0,male,61.0,0,0,33.5,B19,S,,245,Mr
1,0,male,47.0,0,0,34.0208,D46,S,,,Mr
1,1,female,35.0,0,0,512.3292,,C,3,,Miss
1,0,male,64.0,1,0,75.25,D37,C,,,Mr
1,1,female,60.0,1,0,75.25,D37,C,5,,Mrs
1,0,male,60.0,0,0,26.55,,S,,,Col
1,0,male,54.0,0,1,77.2875,D26,S,,,Mr
1,0,male,21.0,0,1,77.2875,D26,S,,169,Mr
1,1,female,55.0,0,0,135.6333,C32,C,8,,Mrs
1,1,female,31.0,0,2,164.8667,C7,S,8,,Miss
1,0,male,57.0,1,1,164.8667,,S,,,Mr
1,1,female,45.0,1,1,164.8667,,S,8,,Mrs
1,0,male,50.0,1,1,211.5,C80,C,,,Mr
1,0,male,27.0,0,2,211.5,C82,C,,,Mr
1,1,female,50.0,1,1,211.5,C80,C,4,,Mrs
1,1,female,21.0,0,0,26.55,,S,8 10,,Miss
1,0,male,51.0,0,1,61.3792,,C,,,Mr
1,1,male,21.0,0,1,61.3792,,C,A,,Mr
1,0,male,,0,0,35.0,C128,S,,,Mr
1,1,female,31.0,0,0,134.5,E39,C,3,,Miss
1,1,male,,0,0,35.5,C52,S,D,,Mr
1,0,male,62.0,0,0,26.55,,S,,,Mr
1,1,female,36.0,0,0,135.6333,C32,C,8,,Miss
2,0,male,30.0,1,0,24.0,,C,,,Mr
2,1,female,28.0,1,0,24.0,,C,10,,Mrs
2,0,male,30.0,0,0,13.0,,S,,,Mr
2,0,male,18.0,0,0,11.5,,S,,,Mr
2,0,male,25.0,0,0,10.5,,S,,,Mr
2,0,male,34.0,1,0,26.0,,S,,,Mr
2,1,female,36.0,1,0,26.0,,S,11,,Mrs
2,0,male,57.0,0,0,13.0,,S,,,Mr
2,0,male,18.0,0,0,11.5,,S,,,Mr
2,0,male,23.0,0,0,10.5,,S,,,Mr
2,1,female,36.0,0,0,13.0,D,S,10,,Mrs
2,0,male,28.0,0,0,10.5,,S,,,Mr
2,0,male,51.0,0,0,12.525,,S,,174,Rev
2,1,male,32.0,1,0,26.0,,S,13,,Mr
2,1,female,19.0,1,0,26.0,,S,13,,Mrs
2,0,male,28.0,0,0,26.0,,S,,,Mr
2,1,male,1.0,2,1,39.0,F4,S,11,,Master
2,1,female,4.0,2,1,39.0,F4,S,11,,Miss
2,1,female,12.0,2,1,39.0,F4,S,13,,Miss
2,1,female,36.0,0,3,39.0,F4,S,11,,Mrs
2,1,male,34.0,0,0,13.0,D56,S,13,,Mr
2,1,female,19.0,0,0,13.0,,S,12,,Miss
2,0,male,23.0,0,0,13.0,,S,,,Mr
2,0,male,26.0,0,0,13.0,,S,,,Mr
2,0,male,42.0,0,0,13.0,,S,,,Mr
2,0,male,27.0,0,0,13.0,,S,,,Mr
2,1,female,24.0,0,0,13.0,F33,S,11,,Miss
2,1,female,15.0,0,2,39.0,,S,14,,Miss
2,0,male,60.0,1,1,39.0,,S,,,Mr
2,1,female,40.0,1,1,39.0,,S,14,,Mrs
2,1,female,20.0,1,0,26.0,,S,12,,Miss
2,0,male,25.0,1,0,26.0,,S,,,Mr
2,1,female,36.0,0,0,13.0,,S,9,,Miss
2,0,male,25.0,0,0,13.0,,S,,97,Mr
2,0,male,42.0,0,0,13.0,,S,,,Rev
2,1,female,42.0,0,0,13.0,,S,,,Mrs
2,1,male,0.8333,0,2,29.0,,S,13,,Master
2,1,male,26.0,1,1,29.0,,S,13,,Mr
2,1,female,22.0,1,1,29.0,,S,13,,Mrs
2,1,female,35.0,0,0,21.0,,S,14,,Miss
2,0,male,,0,0,0.0,,S,,,Mr
2,0,male,19.0,0,0,13.0,,S,,18,Mr
2,0,female,44.0,1,0,26.0,,S,,,Mrs
2,0,male,54.0,1,0,26.0,,S,,,Rev
2,0,male,52.0,0,0,13.5,,S,,130,Mr
2,0,male,37.0,1,0,26.0,,S,,17,Mr
2,0,female,29.0,1,0,26.0,,S,,,Mrs
2,1,female,25.0,1,1,30.0,,S,12,,Miss
2,1,female,45.0,0,2,30.0,,S,12,,Mrs
2,0,male,29.0,1,0,26.0,,S,,,Mr
2,1,female,28.0,1,0,26.0,,S,14,,Mrs
2,0,male,29.0,0,0,10.5,,S,,,Mr
2,0,male,28.0,0,0,13.0,,S,,,Mr
2,1,male,24.0,0,0,10.5,,S,9,,Mr
2,1,female,8.0,0,2,26.25,,S,14,,Miss
2,0,male,31.0,1,1,26.25,,S,,,Mr
2,1,female,31.0,1,1,26.25,,S,14,,Mrs
2,1,female,22.0,0,0,10.5,F33,S,14,,Mrs
2,0,female,30.0,0,0,13.0,,S,,,Mrs
2,0,female,,0,0,21.0,,S,,,Mrs
2,0,male,21.0,0,0,11.5,,S,,,Mr
2,0,male,,0,0,0.0,,S,,,Mr
2,1,male,8.0,1,1,36.75,,S,14,,Master
2,0,male,18.0,0,0,73.5,,S,,,Mr
2,1,female,48.0,0,2,36.75,,S,14,,Mrs
2,1,female,28.0,0,0,13.0,,S,13,,Miss
2,0,male,32.0,0,0,13.0,,S,,,Mr
2,0,male,17.0,0,0,73.5,,S,,,Mr
2,0,male,29.0,1,0,27.7208,,C,,295,Mr
2,1,female,24.0,1,0,27.7208,,C,12,,Mrs
2,0,male,25.0,0,0,31.5,,S,,,Mr
2,0,male,18.0,0,0,73.5,,S,,,Mr
2,1,female,18.0,0,1,23.0,,S,,,Miss
2,1,female,34.0,0,1,23.0,,S,,,Mrs
2,0,male,54.0,0,0,26.0,,S,,,Mr
2,1,male,8.0,0,2,32.5,,S,10,,Master
2,0,male,42.0,1,1,32.5,,S,,,Mr
2,1,female,34.0,1,1,32.5,,S,10,,Mrs
2,1,female,27.0,1,0,13.8583,,C,12,,Miss
2,1,female,30.0,1,0,13.8583,,C,12,,Miss
2,0,male,23.0,0,0,13.0,,S,,,Mr
2,0,male,21.0,0,0,13.0,,S,,,Mr
2,0,male,18.0,0,0,13.0,,S,,,Mr
2,0,male,40.0,1,0,26.0,,S,,286,Mr
2,1,female,29.0,1,0,26.0,,S,16,,Mrs
2,0,male,18.0,0,0,10.5,,S,,,Mr
2,0,male,36.0,0,0,13.0,,S,,236,Mr
2,0,male,,0,0,0.0,,S,,,Mr
2,0,female,38.0,0,0,13.0,,S,,,Miss
2,0,male,35.0,0,0,26.0,,S,,322,Mr
2,0,male,38.0,1,0,21.0,,S,,,Mr
2,0,male,34.0,1,0,21.0,,S,,,Mr
2,1,female,34.0,0,0,13.0,,S,12,,Miss
2,0,male,16.0,0,0,26.0,,S,,,Mr
2,0,male,26.0,0,0,10.5,,S,,,Mr
2,0,male,47.0,0,0,10.5,,S,,,Mr
2,0,male,21.0,1,0,11.5,,S,,,Mr
2,0,male,21.0,1,0,11.5,,S,,,Mr
2,0,male,24.0,0,0,13.5,,S,,297,Mr
2,0,male,24.0,0,0,13.0,,S,,155,Mr
2,0,male,34.0,0,0,13.0,,S,,,Mr
2,0,male,30.0,0,0,13.0,,S,,305,Mr
2,0,male,52.0,0,0,13.0,,S,,19,Mr
2,0,male,30.0,0,0,13.0,,S,,75,Mr
2,1,male,0.6667,1,1,14.5,,S,4,,Master
2,1,female,24.0,0,2,14.5,,S,4,,Mrs
2,0,male,44.0,0,0,13.0,,S,,35,Mr
2,1,female,6.0,0,1,33.0,,S,11,,Miss
2,0,male,28.0,0,1,33.0,,S,,,Rev
2,1,male,62.0,0,0,10.5,,S,15,,Mr
2,0,male,30.0,0,0,10.5,,S,,,Mr
2,1,female,7.0,0,2,26.25,,S,14,,Miss
2,0,male,43.0,1,1,26.25,,S,,,Mr
2,1,female,45.0,1,1,26.25,,S,14,,Mrs
2,1,female,24.0,1,2,65.0,,S,9,,Miss
2,1,female,24.0,1,2,65.0,,S,9,,Miss
2,0,male,49.0,1,2,65.0,,S,,,Mr
2,1,female,48.0,1,2,65.0,,S,9,,Mrs
2,1,female,55.0,0,0,16.0,,S,13,,Mrs
2,0,male,24.0,2,0,73.5,,S,,,Mr
2,0,male,32.0,2,0,73.5,,S,,256,Mr
2,0,male,21.0,2,0,73.5,,S,,,Mr
2,0,female,18.0,1,1,13.0,,S,,,Miss
2,1,female,20.0,2,1,23.0,,S,4,,Miss
2,0,male,23.0,2,1,11.5,,S,,,Mr
2,0,male,36.0,0,0,13.0,,S,,,Mr
2,1,female,54.0,1,3,23.0,,S,4,,Mrs
2,0,male,50.0,0,0,13.0,,S,,149,Mr
2,0,male,44.0,1,0,26.0,,S,,,Mr
2,1,female,29.0,1,0,26.0,,S,10,,Mrs
2,0,male,21.0,0,0,73.5,,S,,,Mr
2,1,male,42.0,0,0,13.0,,S,10,,Mr
2,0,male,63.0,1,0,26.0,,S,,,Mr
2,0,female,60.0,1,0,26.0,,S,,,Mrs
2,0,male,33.0,0,0,12.275,,S,,,Mr
2,1,female,17.0,0,0,10.5,,S,,,Miss
2,0,male,42.0,1,0,27.0,,S,,,Mr
2,1,female,24.0,2,1,27.0,,S,12,,Mrs
2,0,male,47.0,0,0,15.0,,S,,,Mr
2,0,male,24.0,2,0,31.5,,S,,,Mr
2,0,male,22.0,2,0,31.5,,S,,,Mr
2,0,male,32.0,0,0,10.5,,S,,,Mr
2,1,female,23.0,0,0,13.7917,D,C,11,,Mrs
2,0,male,34.0,1,0,26.0,,S,,283,Mr
2,1,female,24.0,1,0,26.0,,S,12,,Mrs
2,0,female,22.0,0,0,21.0,,S,,,Mrs
2,1,female,,0,0,12.35,E101,Q,10,,Miss
2,0,male,35.0,0,0,12.35,,Q,,,Mr
2,1,female,45.0,0,0,13.5,,S,9,,Mrs
2,0,male,57.0,0,0,12.35,,Q,,,Rev
2,0,male,,0,0,0.0,,S,,,Mr
2,0,male,31.0,0,0,10.5,,S,,165,Mr
2,0,female,26.0,1,1,26.0,,S,,,Mrs
2,0,male,30.0,1,1,26.0,,S,,,Rev
2,0,male,,0,0,10.7083,,Q,,,Mr
2,1,female,1.0,1,2,41.5792,,C,14,,Miss
2,1,female,3.0,1,2,41.5792,,C,14,,Miss
